Occupation1,Total_Fatalities,Violence_and_other_injuries_by_persons_or_animals,Transportation_incidents,Fires_and_explosions,Falls_slips_trips,Exposure_to_harmful_substances_or_environments,Contact_with_objects_and_equipment
               Computer support specialists,4,--,3,--,--,--,--
                    Computer network  support specialists,4,--,3,--,--,--,--
     Architecture and engineering occupations,41,7,23,1,6,2,--
"          Architects, surveyors, and cartographers",14,--,11,--,--,--,--
"               Architects, except naval",1,--,--,--,--,--,--
"                    Architects, except landscape and naval",1,--,--,--,--,--,--
"               Surveyors, cartographers, and photogrammetrists",13,--,11,--,--,--,--
                    Surveyors,13,--,11,--,--,--,--
          Engineers,15,--,4,1,4,2,--
               Civil engineers,3,--,--,--,--,--,--
                    Civil engineers,3,--,--,--,--,--,--
               Electrical and electronics engineers,1,--,--,--,--,1,--
                    Electrical engineers,1,--,--,--,--,1,--
               Marine engineers and naval architects,--,--,--,--,--,1,--
                    Marine engineers and naval architects,--,--,--,--,--,1,--
               Mechanical engineers,5,1,--,1,--,--,--
                    Mechanical engineers,5,1,--,1,--,--,--
"               Mining and geological engineers, including mining safety 
                   engineers",3,--,--,--,--,--,--
"                    Mining and geological engineers, including mining 
                        safety engineers",3,--,--,--,--,--,--
"          Drafters, engineering technicians, and mapping technicians",12,3,8,--,--,--,--
               Drafters,2,--,2,--,--,--,--
                    Architectural and civil drafters,1,--,1,--,--,--,--
"               Engineering technicians, except drafters",10,3,6,--,--,--,--
                    Industrial engineering technicians,1,1,--,--,--,--,--
"     Life, physical, and social science occupations",15,5,6,--,--,--,--
          Life scientists,6,--,--,--,--,1,--
               Biological scientists,1,--,--,--,--,1,--
                    Zoologists and wildlife biologists,1,--,--,--,--,1,--
               Medical scientists,1,1,--,--,--,--,--
"                    Medical scientists, except epidemiologists",1,1,--,--,--,--,--
          Physical scientists,5,3,--,--,--,--,--
               Chemists and materials scientists,3,3,--,--,--,--,--
                    Chemists,3,3,--,--,--,--,--
          Social scientists and related workers,1,--,1,--,--,--,--
               Miscellaneous social scientists and related workers,1,--,1,--,--,--,--
                    Political scientists,1,--,1,--,--,--,--
"          Life, physical, and social science technicians",3,--,--,--,--,--,--
     Community and social services occupations,27,10,7,--,5,3,--
"          Counselors, social workers, and other community and social 
              service specialists",15,7,4,--,--,3,--
               Counselors,6,3,--,--,--,--,--
"                    Educational, guidance, school, and vocational 
                        counselors",1,--,--,--,--,--,--
               Social workers,5,1,--,--,--,--,--
                    Healthcare social workers,1,1,--,--,--,--,--
                    Mental health and substance abuse social workers,1,--,--,--,--,1,--
               Miscellaneous community and social service specialists,4,3,--,--,--,--,--
"                    Probation officers and correctional treatment 
                        specialists",3,3,--,--,--,--,--
          Religious workers,12,3,--,--,5,--,--
               Clergy,7,2,--,--,3,--,--
                    Clergy,7,2,--,--,3,--,--
               Miscellaneous religious workers,4,--,2,--,--,--,--
     Legal occupations,13,11,--,--,--,--,--
"          Lawyers, judges, and related workers",12,10,--,--,--,--,--
               Lawyers and judicial law clerks,12,10,--,--,--,--,--
                    Lawyers ,12,10,--,--,--,--,--
          Legal support workers,1,1,--,--,--,--,--
               Paralegals and legal assistants,1,1,--,--,--,--,--
                    Paralegals and legal assistants,1,1,--,--,--,--,--
"     Education, training, and library occupations",32,8,15,--,5,4,--
          Postsecondary teachers,11,5,4,--,--,--,--
"               Education and library science teachers, postsecondary",1,--,--,--,--,--,--
"                    Education teachers, postsecondary",1,--,--,--,--,--,--
               Miscellaneous postsecondary teachers,3,--,--,--,--,--,--
"          Preschool, primary, secondary, and special education school 
              teachers",6,1,3,--,--,--,--
               Elementary and middle school teachers,--,--,1,--,--,--,--
"                    Elementary school teachers, except special education",--,--,1,--,--,--,--
               Secondary school teachers,1,--,1,--,--,--,--
"                    Secondary school teachers, except special and 
                        career/technical education",1,--,1,--,--,--,--
               Special education teachers,3,1,--,--,1,--,--
"                    Special education teachers, preschool ",1,--,--,--,1,--,--
"                    Special education teachers, secondary school",1,1,--,--,--,--,--
          Other teachers and instructors,10,--,6,--,--,--,--
               Self-enrichment education teachers,8,--,5,--,--,--,--
                    Self-enrichment education teachers,8,--,5,--,--,--,--
"          Librarians, curators, and archivists",3,--,1,--,--,--,--
               Librarians,3,--,1,--,--,--,--
                    Librarians,3,--,1,--,--,--,--
"     Arts, design, entertainment, sports, and media occupations",64,14,28,5,9,5,3
          Art and design workers,6,4,--,--,--,--,--
               Artists and related workers,5,3,--,--,--,--,--
               Designers,1,1,--,--,--,--,--
                    Interior designers,1,1,--,--,--,--,--
"          Entertainers and performers, sports and related workers",44,8,22,3,5,4,--
"               Athletes, coaches, umpires, and related workers",29,3,19,--,3,--,--
                    Athletes and sports competitors,21,2,18,--,--,--,--
                    Coaches and scouts,7,--,--,--,--,--,--
"                    Umpires, referees, and other sports officials",1,--,--,--,1,--,--
"               Musicians, singers, and related workers",10,4,2,3,--,1,--
                    Musicians and singers,10,4,2,3,--,1,--
          Media and communication workers,8,2,3,1,1,--,--
               Announcers,5,2,1,1,1,--,--
                    Radio and television announcers,2,2,--,--,--,--,--
                    Public address system and other announcers,3,--,1,1,1,--,--
               Writers and editors,1,--,1,--,--,--,--
                    Editors,1,--,1,--,--,--,--
          Media and communication equipment workers,6,--,3,1,--,--,--
"               Broadcast and sound engineering technicians and radio 
                   operators",4,--,--,1,--,--,--
                    Sound engineering technicians,--,--,--,1,--,--,--
               Photographers,--,--,--,--,1,--,--
                    Photographers,--,--,--,--,1,--,--
     Healthcare practitioners and technical occupations,60,19,18,--,3,18,--
          Health diagnosing and treating practitioners,24,10,5,--,--,8,--
               Chiropractors,3,3,--,--,--,--,--
                    Chiropractors,3,3,--,--,--,--,--
               Dentists,--,--,--,--,--,--,--
"                    Dentists, general",1,--,--,--,--,--,--
               Physicians and surgeons,6,4,1,--,--,1,--
                    Anesthesiologists,2,1,--,--,--,1,--
                    Psychiatrists,1,1,--,--,--,--,--
                    Surgeons,1,1,--,--,--,--,--
               Registered nurses,9,1,3,--,--,4,--
                    Registered nurses,9,1,3,--,--,4,--
          Health technologists and technicians,31,7,11,--,--,9,--
               Diagnostic related technologists and technicians,5,--,--,--,--,3,--
                    Nuclear medicine technologists,--,--,1,--,--,--,--
               Emergency medical technicians and paramedics,10,--,6,--,--,--,--
                    Emergency medical technicians and paramedics,10,--,6,--,--,--,--
               Health practitioner support technologists and technicians,8,--,3,--,--,3,--
                    Veterinary technologists and technicians,4,--,--,--,--,--,--
               Licensed practical and licensed vocational nurses,5,3,--,--,--,--,--
                    Licensed practical and licensed vocational nurses,5,3,--,--,--,--,--
          Other healthcare practitioners and technical occupations,5,--,--,--,--,1,--
               Occupational health and safety specialists and technicians,4,1,--,--,--,1,--
                    Occupational health and safety specialists,3,--,--,--,--,1,--
                    Occupational health and safety technicians,1,1,--,--,--,--,--
     Healthcare support occupations,30,8,6,--,3,9,--
"          Nursing, psychiatric, and home health aides",23,7,5,--,3,6,--
"               Nursing, psychiatric, and home health aides",23,7,5,--,3,6,--
                    Home health aides,15,4,4,--,--,4,--
                    Nursing assistants,8,3,1,1,--,--,--
          Other healthcare support occupations,7,--,1,--,--,3,--
               Miscellaneous healthcare support occupations,6,--,1,--,--,3,--
     Protective service occupations,281,137,104,3,15,9,7
          Supervisors of protective service workers,30,17,5,--,--,3,--
               First-line supervisors of law enforcement workers,19,14,--,--,--,3,--
                    First-line supervisors of correctional officers,1,--,--,--,--,--,--
                    First-line supervisors of police and detectives,18,14,--,--,--,--,--
"               First-line supervisors of fire fighting and prevention 
                   workers",10,--,4,--,--,--,--
"                    First-line supervisors of fire fighting and prevention 
                        workers",10,--,4,--,--,--,--
          Fire fighting and prevention workers,35,5,19,1,5,--,3
               Firefighters,35,5,19,1,5,--,3
                    Firefighters,35,5,19,1,5,--,3
          Law enforcement workers,127,75,48,--,1,--,--
"               Bailiffs, correctional officers, and jailers",10,8,1,--,1,--,--
                    Bailiffs,2,2,--,--,--,--,--
                    Correctional officers and jailers,8,6,1,--,1,--,--
               Detectives and criminal investigators,7,5,--,--,--,--,--
                    Detectives and criminal investigators,7,5,--,--,--,--,--
               Fish and game wardens,1,1,--,--,--,--,--
                    Fish and game wardens,1,1,--,--,--,--,--
               Police officers,109,61,45,--,--,--,--
                    Police and sheriff's patrol officers,108,60,45,--,--,--,--
          Other protective service workers,89,40,32,--,9,4,4
               Animal control workers,1,--,--,--,--,--,--
                    Animal control workers,1,--,--,--,--,--,--
               Security guards and gaming surveillance officers,54,38,9,--,7,--,--
                    Security guards,54,38,9,--,7,--,--
               Miscellaneous protective service workers,34,--,23,--,--,4,4
                    Crossing guards,24,--,21,--,--,--,--
"                    Lifeguards, ski patrol, and other recreational 
                        protective service workers",9,--,--,--,--,4,3
     Food preparation and serving related occupations,92,37,7,--,17,26,--
          Supervisors of food preparation and serving workers,21,11,--,--,5,--,1
"               First-line supervisors of food preparation and serving 
                   workers",21,11,--,--,5,--,1
                    Chefs and head cooks,4,--,--,--,1,--,--
"                    First-line supervisors of food preparation and serving 
                        workers",17,10,--,--,4,--,1
          Cooks and food preparation workers,28,11,--,1,3,10,--
               Cooks,20,9,--,1,--,7,--
"                    Cooks, fast food",7,3,--,--,--,--,--
"                    Cooks, restaurant",10,4,--,1,1,4,--
               Food preparation workers,8,--,--,--,--,3,--
                    Food preparation workers,8,--,--,--,--,3,--
          Food and beverage serving workers,35,13,--,--,5,13,--
               Bartenders,6,4,--,--,--,--,--
                    Bartenders,6,4,--,--,--,--,--
               Fast food and counter workers,15,6,--,--,--,5,--
"                    Combined food preparation and serving workers, 
                        including fast food",13,6,--,--,--,4,--
               Waiters and waitresses,11,3,--,--,--,6,--
                    Waiters and waitresses,11,3,--,--,--,6,--
"               Food servers, nonrestaurant",3,--,--,--,--,--,--
"                    Food servers, nonrestaurant",3,--,--,--,--,--,--
          Other food preparation and serving related workers,8,--,1,--,4,--,--
               Dining room and cafeteria attendants and bartender helpers,3,1,--,--,--,--,--
"                    Dining room and cafeteria attendants and bartender 
                        helpers",3,1,--,--,--,--,--
               Dishwashers,--,--,1,--,--,--,--
                    Dishwashers,--,--,1,--,--,--,--
               Miscellaneous food preparation and serving related workers,1,--,--,--,1,--,--
     Building and grounds cleaning and maintenance occupations,329,28,96,3,94,50,58
"          Supervisors of building and grounds cleaning and maintenance 
              workers",38,4,12,--,7,5,10
"               First-line supervisors of building and grounds cleaning and 
                   maintenance workers",38,4,12,--,7,5,10
"                    First-line supervisors of housekeeping and janitorial 
                        workers",8,--,5,--,--,--,--
"                    First-line supervisors of landscaping, lawn service, 
                        and groundskeeping workers",30,--,7,--,6,5,10
          Building cleaning and pest control workers,74,14,13,--,23,15,8
               Building cleaning workers,64,12,9,--,21,13,8
"                    Janitors and cleaners, except maids and housekeeping 
                        cleaners",46,6,9,--,14,9,8
                    Maids and housekeeping cleaners,13,6,--,--,--,4,--
               Pest control workers,10,--,4,--,--,--,--
                    Pest control workers,10,--,4,--,--,--,--
          Grounds maintenance workers,217,10,71,--,64,30,40
               Grounds maintenance workers,217,10,71,--,64,30,40
                    Landscaping and groundskeeping workers,125,9,62,--,23,13,17
"                    Pesticide handlers, sprayers, and applicators, 
                        vegetation",3,--,3,--,--,--,--
                    Tree trimmers and pruners,84,--,4,--,41,17,20
     Personal care and service occupations,55,20,13,--,9,12,--
          Supervisors of personal care and service workers,1,1,--,--,--,--,--
               First-line supervisors of personal service workers,1,1,--,--,--,--,--
                    First-line supervisors of personal service workers,1,1,--,--,--,--,--
          Animal care and service workers,12,7,3,--,--,--,--
               Animal trainers,4,--,--,--,--,--,--
                    Animal trainers,4,--,--,--,--,--,--
               Nonfarm animal caretakers,8,7,1,--,--,--,--
                    Nonfarm animal caretakers,8,7,1,--,--,--,--
          Entertainment attendants and related workers,11,--,4,--,4,--,--
               Miscellaneous entertainment attendants and related workers,9,--,4,--,3,1,--
                    Amusement and recreation attendants,9,--,4,--,3,1,--
          Personal appearance workers,11,7,--,--,--,--,--
"               Barbers, hairdressers, hairstylists and cosmetologists",10,7,--,--,--,--,--
                    Barbers,6,4,--,--,--,--,--
"                    Hairdressers, hairstylists, and cosmetologists",4,3,--,--,--,--,--
          Tour and travel guides,5,--,--,--,--,--,--
               Tour and travel guides,5,--,--,--,--,--,--
                    Tour guides and escorts,3,--,--,--,--,--,--
                    Travel guides,2,--,--,--,--,--,--
          Other personal care and service workers,14,4,4,--,--,5,--
               Personal care aides,4,--,--,--,--,--,--
                    Personal care aides,4,--,--,--,--,--,--
               Recreation and fitness workers,7,--,3,--,--,3,--
                    Recreation workers,6,--,3,--,--,--,--
               Residential advisors,3,--,--,--,--,1,--
                    Residential advisors,3,--,--,--,--,1,--
     Sales and related occupations,254,154,53,3,24,16,4
          Supervisors of sales workers,104,70,14,--,10,7,--
               First-line supervisors of sales workers,104,70,14,--,10,7,--
                    First-line supervisors of retail sales workers,89,65,7,--,8,6,--
                    First-line supervisors of non-retail sales workers,15,5,7,--,--,--,--
          Retail sales workers,102,73,13,--,8,5,3
               Cashiers,63,60,--,--,--,1,--
                    Cashiers,62,59,--,--,--,1,--
               Counter and rental clerks and parts salespersons,6,--,--,--,--,2,--
                    Counter and rental clerks,4,--,--,--,--,2,--
               Retail salespersons,33,12,10,--,7,--,--
                    Retail salespersons,33,12,10,--,7,--,--
"          Sales representatives, services",7,--,3,--,--,--,--
"               Securities, commodities, and financial services sales agents",1,--,1,--,--,--,--
"                    Securities, commodities, and financial services sales 
                        agents",1,--,1,--,--,--,--
"               Miscellaneous sales representatives, services",4,--,--,--,--,--,--
"          Sales representatives, wholesale and manufacturing",20,--,15,--,4,--,--
"               Sales representatives, wholesale and manufacturing",20,--,15,--,4,--,--
"                    Sales representatives, wholesale and manufacturing, 
                        technical and scientific products",8,--,5,--,3,--,--
"                    Sales representatives, wholesale and manufacturing, 
                        except technical and scientific products",12,--,10,--,--,--,--
          Other sales and related workers,21,8,8,1,--,3,--
               Real estate brokers and sales agents,8,3,3,1,--,--,--
                    Real estate sales agents,8,3,3,1,--,--,--
               Miscellaneous sales and related workers,12,5,4,--,--,--,--
"                    Door-to-door sales workers, news and street vendors, 
                        and related workers",6,--,3,--,--,1,--
     Office and administrative support occupations,78,23,30,--,11,8,6
          Supervisors of office and administrative support workers,8,4,--,--,--,--,--
"               First-line supervisors of office and administrative support 
                   workers",8,4,--,--,--,--,--
"                    First-line supervisors of office and administrative 
                        support workers",8,4,--,--,--,--,--
          Financial clerks,5,5,--,--,--,--,--
"               Bookkeeping, accounting, and auditing clerks",1,1,--,--,--,--,--
"                    Bookkeeping, accounting, and auditing clerks",1,1,--,--,--,--,--
          Information and record clerks,14,4,6,--,--,--,--
"               Court, municipal, and license clerks",2,1,1,--,--,--,--
"                    Court, municipal, and license clerks",2,1,1,--,--,--,--
               Customer service representatives,5,--,--,--,--,--,--
                    Customer service representatives,5,--,--,--,--,--,--
               Receptionists and information clerks,3,1,--,--,--,--,--
                    Receptionists and information clerks,3,1,--,--,--,--,--
               Miscellaneous information and record clerks,1,--,1,--,--,--,--
"          Material recording, scheduling, dispatching, and distributing 
              workers",43,8,20,--,5,6,4
               Cargo and freight agents,1,1,--,--,--,--,--
                    Cargo and freight agents,1,1,--,--,--,--,--
               Couriers and messengers,3,--,3,--,--,--,--
                    Couriers and messengers,3,--,3,--,--,--,--
               Dispatchers,6,--,--,--,--,--,--
"                    Dispatchers, except police, fire, and ambulance",5,--,--,--,--,--,--
"               Meter readers, utilities",4,--,3,--,--,--,--
"                    Meter readers, utilities",4,--,3,--,--,--,--
               Postal service workers,13,--,9,--,--,--,--
                    Postal service clerks,3,--,--,--,--,--,--
                    Postal service mail carriers,10,--,7,--,--,--,--
"               Production, planning, and expediting clerks",1,--,--,--,--,--,--
"                    Production, planning, and expediting clerks",1,--,--,--,--,--,--
"               Shipping, receiving, and traffic clerks",3,--,1,--,--,--,--
"                    Shipping, receiving, and traffic clerks",3,--,1,--,--,--,--
               Stock clerks and order fillers,11,3,--,--,--,4,1
                    Stock clerks and order fillers,11,3,--,--,--,4,1
"               Weighers, measurers, checkers, and samplers, recordkeeping",1,--,1,--,--,--,--
"                    Weighers, measurers, checkers, and samplers, 
                        recordkeeping",1,--,1,--,--,--,--
          Secretaries and administrative assistants,5,1,1,--,--,--,--
               Secretaries and administrative assistants,5,1,1,--,--,--,--
                    Executive secretaries and administrative assistants,1,--,1,--,--,--,--
"                    Secretaries and administrative assistants, except 
                        legal, medical, and executive",4,1,--,--,--,--,--
          Other office and administrative support workers,3,--,1,--,--,--,--
               Insurance claims and policy processing clerks,1,--,1,--,--,--,--
                    Insurance claims and policy processing clerks,1,--,1,--,--,--,--
"     Farming, fishing, and forestry occupations",290,18,119,6,17,20,108
"          Supervisors of farming, fishing, and forestry workers",12,--,4,--,--,--,4
"               First-line supervisors of farming, fishing, and forestry 
                   workers",12,--,4,--,--,--,4
"                    First-line supervisors of farming, fishing, and 
                        forestry workers",12,--,4,--,--,--,4
          Agricultural workers,157,16,78,5,12,11,35
               Miscellaneous agricultural workers,156,16,77,5,12,11,35
                    Agricultural equipment operators,14,--,9,--,--,--,4
"                    Farmworkers and laborers, crop, nursery, and greenhouse",78,3,40,--,9,7,17
"                    Farmworkers, farm, ranch, and aquacultural animals",61,12,26,--,3,3,14
          Fishing and hunting workers,26,--,17,--,--,7,--
               Fishers and related fishing workers,24,--,15,--,--,7,--
                    Fishers and related fishing workers,24,--,15,--,--,7,--
"          Forest, conservation, and logging workers",95,--,20,1,--,--,69
               Logging workers,91,--,17,1,--,--,68
                    Fallers,70,--,9,1,--,--,57
                    Logging equipment operators,12,--,7,--,--,--,5
     Construction and extraction occupations,970,46,222,15,379,133,170
          Supervisors of construction and extraction workers,134,4,49,3,32,13,32
"               First-line supervisors of construction trades and 
                   extraction workers",134,4,49,3,32,13,32
"                    First-line supervisors of construction trades and 
                        extraction workers",134,4,49,3,32,13,32
          Construction trades workers,736,40,135,8,326,111,112
               Boilermakers,4,--,1,1,--,--,--
                    Boilermakers,4,--,1,1,--,--,--
"               Brickmasons, blockmasons, and stonemasons",12,--,1,--,5,--,3
                    Brickmasons and blockmasons,10,--,--,--,5,--,--
                    Stonemasons,2,--,1,--,--,--,1
               Carpenters,99,6,8,--,66,12,6
                    Carpenters,99,6,8,--,66,12,6
"               Carpet, floor, and tile installers and finishers",8,--,3,--,--,--,--
                    Carpet installers,4,--,--,--,--,--,--
                    Tile and marble setters,3,--,--,--,--,--,--
"               Cement masons, concrete finishers, and terrazzo workers",12,--,3,--,3,3,--
                    Cement masons and concrete finishers,12,--,3,--,3,3,--
               Construction laborers,254,17,52,3,89,27,64
                    Construction laborers,254,17,52,3,89,27,64
               Construction equipment operators,46,5,24,--,--,5,12
"                    Paving, surfacing, and tamping equipment operators",6,--,4,--,--,--,--
"                    Operating engineers and other construction equipment 
                        operators",39,4,20,--,--,4,11
"               Drywall installers, ceiling tile installers, and tapers",6,--,--,--,5,--,--
                    Drywall and ceiling tile installers,5,--,--,--,4,--,--
               Electricians,79,5,15,--,23,30,4
                    Electricians,79,5,15,--,23,30,4
               Insulation workers,6,--,1,--,--,--,--
"                    Insulation workers, floor, ceiling, and wall",5,--,1,--,--,--,--
"                    Insulation workers, mechanical",1,--,--,--,--,--,--
               Painters and paperhangers,52,--,10,--,29,9,--
"                    Painters, construction and maintenance",50,--,10,--,27,9,--
                    Paperhangers,2,--,--,--,--,--,--
"               Pipelayers, plumbers, pipefitters, and steamfitters",24,1,4,--,4,4,9
                    Pipelayers,6,--,--,--,--,--,5
"                    Plumbers, pipefitters, and steamfitters",18,1,3,--,4,4,4
               Plasterers and stucco masons,--,--,1,--,--,--,--
                    Plasterers and stucco masons,--,--,1,--,--,--,--
               Reinforcing iron and rebar workers,6,--,--,--,3,--,1
                    Reinforcing iron and rebar workers,6,--,--,--,3,--,1
               Roofers,101,--,7,--,81,12,--
                    Roofers,101,--,7,--,81,12,--
               Sheet metal workers,6,1,--,--,3,--,--
                    Sheet metal workers,6,1,--,--,3,--,--
               Structural iron and steel workers,16,--,--,--,9,--,4
                    Structural iron and steel workers,16,--,--,--,9,--,4
"          Helpers, construction trades",14,--,--,--,10,3,--
"               Helpers, construction trades",14,--,--,--,10,3,--
                    Helpers--electricians,3,--,--,--,--,--,--
                    Helpers--roofers,5,--,--,--,5,--,--
          Other construction and related workers,45,1,27,--,9,--,6
               Construction and building inspectors,9,--,5,--,3,--,--
                    Construction and building inspectors,9,--,5,--,3,--,--
               Elevator installers and repairers,6,--,--,--,--,--,3
                    Elevator installers and repairers,6,--,--,--,--,--,3
               Fence erectors,4,1,--,--,--,--,1
                    Fence erectors,4,1,--,--,--,--,1
               Hazardous materials removal workers,4,--,--,--,--,--,--
                    Hazardous materials removal workers,4,--,--,--,--,--,--
               Highway maintenance workers,12,--,12,--,--,--,--
                    Highway maintenance workers,12,--,12,--,--,--,--
               Rail-track laying and maintenance equipment operators,5,--,4,--,--,--,--
                    Rail-track laying and maintenance equipment operators,5,--,4,--,--,--,--
               Septic tank servicers and sewer pipe cleaners,3,--,3,--,--,--,--
                    Septic tank servicers and sewer pipe cleaners,3,--,3,--,--,--,--
          Extraction workers,41,--,10,3,--,5,20
"               Derrick, rotary drill, and service unit operators, oil, 
                   gas, and mining",8,--,3,1,--,--,--
"                    Derrick operators, oil and gas",3,--,--,--,--,--,--
"                    Service unit operators, oil, gas, and mining",3,--,--,1,--,--,--
"               Earth drillers, except oil and gas",4,--,--,--,--,--,--
"                    Earth drillers, except oil and gas",4,--,--,--,--,--,--
               Mining machine operators,6,--,--,--,--,--,5
                    Continuous mining machine operators,3,--,--,--,--,--,3
"               Roustabouts, oil and gas",8,--,4,--,--,--,3
"                    Roustabouts, oil and gas",8,--,4,--,--,--,3
               Miscellaneous extraction workers,12,--,3,--,--,--,7
"     Installation, maintenance, and repair occupations",470,70,115,11,91,74,107
"          Supervisors of installation, maintenance, and repair workers",44,16,4,--,8,4,11
"               First-line supervisors of mechanics, installers, and 
                   repairers",44,16,4,--,8,4,11
"                    First-line supervisors of mechanics, installers, and 
                        repairers",44,16,4,--,8,4,11
"          Electrical and electronic equipment mechanics, installers, and 
              repairers",23,--,9,--,8,3,--
"               Radio and telecommunications equipment installers and 
                   repairers",12,--,5,--,4,--,--
"                    Radio, cellular, and tower equipment installers and 
                        repairers",7,--,3,--,4,--,--
"                    Telecommunications equipment installers and repairers, 
                        except line installers",5,--,--,--,--,--,--
"               Miscellaneous electrical and electronic equipment 
                   mechanics, installers, and repairers",11,--,4,--,4,--,--
"                    Electrical and electronics installers and repairers, 
                        transportation equipment",1,--,--,--,--,--,--
"                    Electrical and electronics repairers, powerhouse, 
                        substation, and relay",1,--,1,--,--,--,--
"                    Electronic home entertainment equipment installers and 
                        repairers",4,--,3,--,--,--,--
                    Security and fire alarm systems installers,3,--,--,--,--,--,--
"          Vehicle and mobile equipment mechanics, installers, and repairers",154,31,36,5,7,13,60
               Aircraft mechanics and service technicians,4,--,2,--,--,--,--
                    Aircraft mechanics and service technicians,4,--,2,--,--,--,--
               Automotive technicians and repairers,72,21,7,3,5,8,28
                    Automotive body and related repairers,6,3,--,--,--,--,--
                    Automotive service technicians and mechanics,64,17,7,--,5,5,28
               Bus and truck mechanics and diesel engine specialists,29,3,9,1,--,3,12
                    Bus and truck mechanics and diesel engine specialists,29,3,9,1,--,3,12
"               Heavy vehicle and mobile equipment service technicians and 
                   mechanics",38,4,14,--,1,--,18
                    Farm equipment mechanics and service technicians,10,--,3,--,--,--,7
"                    Mobile heavy equipment mechanics, except engines",27,3,11,--,1,--,11
               Small engine mechanics,7,--,3,--,--,--,--
                    Motorcycle mechanics,3,--,--,--,--,--,--
"               Miscellaneous vehicle and mobile equipment mechanics, 
                   installers, and repairers",4,--,1,1,--,--,--
                    Tire repairers and changers,3,--,1,1,--,--,--
"          Other installation, maintenance, and repair occupations",249,21,66,5,68,54,35
               Control and valve installers and repairers,4,--,--,--,--,--,--
"               Heating, air conditioning, and refrigeration mechanics and 
                   installers",37,4,9,--,11,10,3
"                    Heating, air conditioning, and refrigeration mechanics 
                        and installers",37,4,9,--,11,10,3
               Home appliance repairers,3,--,--,--,--,--,--
                    Home appliance repairers,3,--,--,--,--,--,--
"               Industrial machinery installation, repair, and maintenance 
                   workers",45,3,11,--,7,3,20
                    Industrial machinery mechanics,22,--,6,--,5,--,9
"                    Maintenance workers, machinery",13,2,3,--,--,--,5
                    Millwrights,10,--,--,--,--,--,6
               Line installers and repairers,42,3,16,--,9,13,1
